INFO  22:08:55,010 | james.mailprocessor | Matcher All instantiated.
INFO  22:08:55,010 | james.mailprocessor | Mailet SetMailAttribute instantiated.
INFO  22:08:55,010 | james.mailprocessor | Matcher SMTPAuthSuccessful instantiated.
INFO  22:08:55,010 | james.mailprocessor | Mailet Bounce instantiated.
INFO  22:08:55,010 | james.mailprocessor | Matcher All instantiated.
INFO  22:08:55,010 | james.mailprocessor | Mailet Null instantiated.
INFO  22:08:55,119 | james.mailprocessor | Matcher All instantiated.
INFO  22:08:55,119 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentObjectRepository Store
INFO  22:08:55,151 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentObjectRepository opened in ..\var\mail\address-error
INFO  22:08:55,151 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentStreamRepository Store
INFO  22:08:55,151 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentStreamRepository opened in ..\var\mail\address-error
INFO  22:08:55,151 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentObjectRepository Store
INFO  22:08:55,151 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentObjectRepository opened in ..\var\mail\address-error
INFO  22:08:55,151 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentStreamRepository Store
INFO  22:08:55,151 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentStreamRepository opened in ..\var\mail\address-error
INFO  22:08:55,151 | james.mailrepositorystore | added repository: file://var/mail/address-error/->org.apache.james.mailrepository.file.FileMailRepository
INFO  22:08:55,151 | james.mailprocessor | Mailet ToRepository instantiated.
INFO  22:08:55,229 | james.mailprocessor | Matcher All instantiated.
INFO  22:08:55,244 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentObjectRepository Store
INFO  22:08:55,244 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentObjectRepository opened in ..\var\mail\relay-denied
INFO  22:08:55,244 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentStreamRepository Store
INFO  22:08:55,244 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentStreamRepository opened in ..\var\mail\relay-denied
INFO  22:08:55,244 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentObjectRepository Store
INFO  22:08:55,244 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentObjectRepository opened in ..\var\mail\relay-denied
INFO  22:08:55,244 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentStreamRepository Store
INFO  22:08:55,244 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentStreamRepository opened in ..\var\mail\relay-denied
INFO  22:08:55,244 | james.mailrepositorystore | added repository: file://var/mail/relay-denied/->org.apache.james.mailrepository.file.FileMailRepository
INFO  22:08:55,244 | james.mailprocessor | Mailet ToRepository instantiated.
INFO  22:08:55,322 | james.mailprocessor | Matcher All instantiated.
